student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk,country
11,master of business administration,Continuing,Satisfactory,0,Referencing,Student Counsellor,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,72.4,83.0,82.9,78.4,72.3,Access,,LB5202,73.0,74.0,76.4,82.3,76.8,Access,,LB5205,51.0,70.8,57.4,81.6,68.0,Access,,,,Non-IT,,Bhutan
12,master of business administration,LOA,Satisfactory,0,Writing,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,68.7,79.5,83.4,56.0,70.1,No Access,,LB5202,68.1,64.1,75.5,78.9,77.7,Access,,LB5205,72.3,74.1,80.7,96.2,77.0,Access,,,,Non-IT,,Bhutan
13,master of business administration,LOA,Satisfactory,0,4R Essential Skills,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,75.8,82.6,83.3,79.0,66.0,Access,,LB5202,68.2,76.3,72.0,77.5,86.5,Access,,LB5205,74.6,68.4,79.0,63.3,73.5,No Access,,,,Non-IT,,Bhutan
14,master of business administration,New,Satisfactory,0,Referencing,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,68.7,67.2,73.6,77.1,81.1,Access,Non submission,LB5202,66.8,64.7,77.4,61.0,68.7,Access,Attendance,LB5205,46.2,63.4,70.7,76.7,66.6,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,Bhutan
15,master of business administration,Transferred,Satisfactory,0,Writing,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,67.4,66.6,71.2,71.9,70.3,Access,,LB5202,98.5,90.0,93.0,58.8,86.9,Access,,LB5205,67.4,29.0,79.3,73.7,61.7,Access,,,,Non-IT,,Bhutan
16,master of business administration,LOA,Conditional,1,Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,61.2,70.9,44.2,37.1,49.9,No Access,Non submission,LB5202,55.8,70.4,52.6,41.2,77.7,Access,Concern for welfare,LB5205,46.0,79.5,74.9,65.4,75.9,Access,Concern for welfare,Week 7. Student disclosed high stress levels and lack of sleep. Referred to Wellbeing team and reminded of available mental health support.,Mental health,Non-IT,,Bhutan
17,master of business administration,New,Satisfactory,0,Studiocity,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,59.4,67.1,65.5,65.6,73.2,No Access,,LB5202,90.1,55.7,74.6,68.3,52.8,Access,,LB5205,75.4,68.5,72.6,79.6,60.2,Access,,,,Non-IT,,Bhutan
18,master of business administration,First year,Conditional,1,Writing,Student Counsellor,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,55.2,58.6,66.6,53.0,70.3,Access,Attendance,LB5202,74.3,73.7,24.2,49.3,43.1,Access,Non submission,LB5205,48.7,46.0,46.9,21.9,45.4,No Access,Attendance,Week 6. Student submitted assessment late. Extension not requested in advance. Advised to submit future requests on time and referred to Academic Skills team.,Poor time management,Non-IT,,Bhutan
19,master of business administration,Transferred,Satisfactory,0,Referencing,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,68.3,81.3,62.8,72.5,69.4,Access,,LB5202,59.8,72.4,57.3,63.5,75.3,Access,,LB5205,72.1,69.8,62.7,83.1,67.0,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Bhutan
20,master of business administration,LOA,Satisfactory,0,Referencing,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,70.3,67.0,75.1,94.6,83.3,Access,,LB5202,66.0,86.8,96.4,14.8,69.0,Access,,LB5205,91.0,67.7,72.9,83.2,80.0,Access,,,,Non-IT,,Bhutan
21,master of business administration,SRI to JCUB,Satisfactory,0,Essential Skills,Student Counsellor,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,61.2,70.4,78.1,64.2,69.5,Access,,LB5202,75.8,58.6,62.1,60.2,81.6,Access,,LB5205,79.1,72.9,26.2,75.0,72.0,Access,,,,Non-IT,,Bhutan
22,master of business administration,Return to Study,Satisfactory,0,Studiocity,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,69.1,59.8,73.4,62.0,77.7,Access,,LB5202,76.6,66.4,30.0,77.2,61.3,Access,,LB5205,60.9,86.1,74.0,67.9,66.5,Access,,,,Non-IT,,Bhutan
23,master of business administration,First year,Satisfactory,0,Studiocity,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,68.2,66.9,70.0,69.1,77.7,No Access,Non submission,LB5202,67.3,51.5,64.6,61.5,57.9,Access,,LB5205,69.4,64.9,54.2,60.3,65.9,No Access,,,,Non-IT,,Bhutan
24,master of business administration,First year,Satisfactory,0,Writing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,73.1,76.7,65.9,65.5,63.6,No Access,Non submission,LB5202,75.5,70.9,75.0,56.9,68.8,No Access,Non submission,LB5205,72.5,60.8,66.9,70.8,58.1,Access,Non submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,Bhutan
25,master of business administration,New,Satisfactory,0,Writing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,81.9,78.7,66.0,73.7,71.0,Access,,LB5202,74.9,72.5,65.9,70.2,70.2,Access,,LB5205,68.2,79.8,75.9,38.1,66.2,Access,,,,Non-IT,,Bhutan
26,master of business administration,First year,Satisfactory,0,Referencing,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,66.6,93.5,79.1,68.1,72.3,Access,,LB5202,71.1,71.6,25.2,69.6,62.6,Access,,LB5205,66.5,74.6,59.6,72.7,72.4,Access,,,,Non-IT,,Bhutan
27,master of business administration,Transferred,Satisfactory,0,Essential Skills and Reading,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,67.5,65.2,74.6,74.0,74.6,No Access,,LB5202,63.4,69.7,65.2,76.2,61.6,Access,,LB5205,69.8,81.7,77.8,68.6,78.2,No Access,,,,Non-IT,,Bhutan
28,master of business administration,LOA,Satisfactory,0,Writing,Other,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,61.1,82.0,82.1,68.9,72.7,No Access,,LB5202,73.2,65.8,73.7,78.1,78.5,No Access,,LB5205,69.6,68.6,68.5,70.7,63.2,Access,,,,Non-IT,,Bhutan
29,master of business administration,LOA,Satisfactory,0,Essential Skills,Enrollment,Booked,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,73.9,58.8,66.6,76.7,73.9,Access,,LB5202,65.5,67.9,74.2,67.1,87.0,Access,,LB5205,86.3,75.9,76.2,73.2,76.0,No Access,,,,Non-IT,,Bhutan
30,master of business administration,SRI to JCUB,Satisfactory,0,Writing,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,79.4,66.9,75.6,67.7,75.2,No Access,,LB5202,74.6,77.9,73.6,69.3,67.0,No Access,,LB5205,68.7,69.4,83.1,74.0,73.8,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Bhutan
31,master of business administration,Return to Study,Satisfactory,0,4R Essential Skills,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,57.8,93.3,79.5,96.0,72.2,Access,,LB5202,63.5,61.2,62.0,61.9,74.2,Access,,LB5205,0.4,80.5,68.2,60.0,70.4,No Access,,,,Non-IT,,Bhutan
32,master of business administration,New,Satisfactory,0,Studiocity,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,66.5,69.8,63.8,70.1,72.0,Access,,LB5202,58.0,76.9,72.0,67.4,60.6,Access,,LB5205,78.8,73.0,72.8,64.8,59.1,No Access,,,,Non-IT,,Bhutan
33,master of business administration,Return to Study,Satisfactory,0,4R Essential Skills,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,69.0,78.1,66.0,69.2,72.9,Access,,LB5202,69.0,55.1,77.4,73.2,72.5,Access,,LB5205,76.1,61.9,78.8,68.9,63.4,Access,,,,Non-IT,,Bhutan
34,master of business administration,First year,Satisfactory,0,4R Essential Skills,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,62.9,66.6,72.6,77.0,55.8,Access,,LB5202,2.7,62.7,67.3,58.8,65.2,Access,,LB5205,77.0,64.8,65.2,58.6,69.7,Access,,,,Non-IT,,Bhutan
35,master of business administration,SRI to JCUB,Satisfactory,0,4R Essential Skills,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,62.6,70.6,71.0,62.9,63.7,Access,,LB5202,62.0,69.4,74.2,74.1,72.8,Access,,LB5205,95.2,59.3,76.7,80.2,71.3,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Bhutan
36,master of business administration,Return to Study,Satisfactory,0,Referencing,Enrollment,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,59.2,64.4,74.3,69.5,79.2,No Access,Non submission,LB5202,65.8,74.9,68.4,87.0,58.5,No Access,Attendance,LB5205,60.2,76.6,73.5,13.3,66.6,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,Bhutan
37,master of business administration,Transferred,Satisfactory,0,Essential Skills and Reading,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,72.5,72.2,76.7,87.8,51.3,No Access,,LB5202,22.9,34.7,71.5,73.4,78.6,No Access,,LB5205,75.2,73.4,72.1,77.4,68.5,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Bhutan
38,master of business administration,LOA,Satisfactory,0,Essential Skills,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,58.8,60.9,70.6,71.2,84.7,Access,,LB5202,97.7,75.9,94.2,67.1,68.8,Access,,LB5205,73.7,67.1,82.0,65.0,76.4,Access,,,,Non-IT,,Bhutan
39,master of business administration,First year,Satisfactory,0,Writing,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,64.9,98.2,70.2,68.8,65.6,No Access,,LB5202,75.0,76.5,60.4,90.2,59.5,No Access,,LB5205,64.3,55.9,68.8,75.5,58.1,Access,,,,Non-IT,,Bhutan
40,master of business administration,SRI to JCUB,Satisfactory,0,Studiocity,Enrollment,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,59.1,68.7,71.7,61.0,62.1,No Access,,LB5202,71.9,70.0,12.7,79.5,63.6,Access,,LB5205,69.1,65.8,91.6,72.1,78.9,Access,,,,Non-IT,,Bhutan
41,master of business administration,Return to Study,Satisfactory,0,4R Essential Skills,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,30.9,70.6,79.8,77.6,74.8,Access,,LB5202,72.8,78.4,72.2,59.9,73.1,Access,,LB5205,66.3,64.9,75.1,66.7,66.6,Access,,,,Non-IT,,Bhutan
42,master of business administration,New,Satisfactory,0,Writing,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,67.0,68.2,65.9,67.3,70.0,Access,,LB5202,66.0,78.3,66.2,68.5,59.7,Access,,LB5205,66.1,99.3,73.0,64.4,62.7,Access,,,,Non-IT,,Bhutan
43,master of business administration,Transferred,Satisfactory,0,4R Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,73.6,78.4,72.8,76.7,70.3,Access,,LB5202,77.4,42.6,62.6,71.1,72.5,Access,,LB5205,74.5,74.9,79.8,82.7,71.4,No Access,,,,Non-IT,,Bhutan
44,master of business administration,Transferred,Satisfactory,0,4R Essential Skills,Lecturer,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,68.5,66.5,73.1,86.3,55.7,Access,,LB5202,74.6,76.6,78.5,75.7,73.4,No Access,,LB5205,3.2,83.9,59.1,65.3,66.9,No Access,,,,Non-IT,,Bhutan
45,master of business administration,Return to Study,Satisfactory,0,Studiocity,Student Counsellor,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,75.7,85.4,62.6,59.9,82.8,Access,Non submission,LB5202,72.1,67.0,71.7,64.1,77.6,Access,Non submission,LB5205,70.9,83.4,78.2,62.7,67.1,Access,Non submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,Bhutan
46,master of business administration,LOA,Satisfactory,0,Writing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,58.9,75.3,94.7,69.1,79.2,Access,,LB5202,78.1,77.3,67.1,55.4,73.2,Access,,LB5205,72.5,67.6,72.0,79.1,79.7,No Access,,,,Non-IT,,Bhutan
47,master of business administration,Return to Study,Satisfactory,0,Writing,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,75.0,67.2,77.8,74.2,79.3,No Access,,LB5202,90.3,67.4,75.1,69.7,69.7,Access,,LB5205,70.5,69.6,65.2,67.0,79.0,No Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Bhutan
48,master of business administration,First year,Satisfactory,0,Referencing,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,78.4,68.2,65.6,58.6,70.1,Access,,LB5202,70.8,73.7,63.7,64.8,66.7,Access,,LB5205,77.6,79.4,68.4,62.5,60.5,No Access,,,,Non-IT,,Bhutan
49,master of business administration,Return to Study,Satisfactory,0,4R Essential Skills,Student Advocate,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,89.5,65.8,65.3,66.9,68.4,Access,,LB5202,75.2,72.5,60.0,70.7,68.1,Access,,LB5205,74.1,61.3,82.7,74.5,74.5,Access,,,,Non-IT,,Bhutan
50,master of business administration,Transferred,Satisfactory,0,Essential Skills and Reading,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,67.8,59.5,62.6,94.8,57.6,No Access,,LB5202,70.8,74.1,87.4,76.3,67.7,No Access,,LB5205,75.2,77.5,67.5,60.8,73.6,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Bhutan
51,master of business administration,SRI to JCUB,Satisfactory,0,Writing,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,66.6,67.8,76.9,67.2,69.4,Access,,LB5202,75.8,17.5,67.9,56.4,81.0,Access,,LB5205,70.0,75.0,61.2,59.6,67.8,Access,,,,Non-IT,,Bhutan
52,master of business administration,Return to Study,Satisfactory,0,Referencing,Student Advocate,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,77.7,63.9,70.6,64.8,59.8,Access,,LB5202,59.8,62.8,67.5,65.1,65.1,Access,,LB5205,76.9,70.0,62.6,73.8,69.1,Access,,,,Non-IT,,Cambodia
53,master of business administration,LOA,Satisfactory,0,Studiocity,Student Advocate,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,82.1,36.0,69.4,65.8,71.6,Access,,LB5202,78.9,70.9,77.7,76.6,65.8,No Access,,LB5205,84.4,83.3,67.8,76.8,62.3,Access,,,,Non-IT,,Canada
54,master of business administration,SRI to JCUB,Satisfactory,0,Writing,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,72.8,74.4,72.4,74.8,79.6,No Access,,LB5202,77.4,70.6,76.8,65.7,80.8,No Access,,LB5205,82.5,65.7,64.0,74.1,76.2,Access,,,,Non-IT,,Chile
55,master of business administration,New,Satisfactory,0,Referencing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,64.4,55.1,63.7,61.8,59.7,Access,Attendance,LB5202,59.5,69.0,47.6,65.0,58.8,No Access,Non submission,LB5205,68.6,31.4,60.1,71.8,61.4,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,Chile
56,master of business administration,Continuing,Satisfactory,0,Referencing,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,79.1,71.0,69.2,79.0,70.7,Access,,LB5202,76.1,77.4,71.4,59.9,86.6,Access,,LB5205,65.5,64.9,83.0,58.3,74.5,Access,,,,Non-IT,,China
57,master of business administration,Return to Study,Satisfactory,0,Studiocity,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,66.5,77.8,66.0,69.1,75.9,Access,Non submission,LB5202,76.6,70.3,75.5,61.4,72.8,No Access,Attendance,LB5205,79.7,12.9,71.4,67.1,63.6,Access,Non submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,China
58,master of business administration,LOA,Satisfactory,0,Writing,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,71.3,81.8,64.9,57.8,67.5,Access,,LB5202,75.1,79.9,66.3,63.7,86.3,Access,,LB5205,67.8,64.6,35.0,76.5,72.4,Access,,,,Non-IT,,China
59,master of business administration,SRI to JCUB,Satisfactory,0,Studiocity,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,76.9,68.4,62.5,79.3,65.9,Access,,LB5202,63.4,71.4,70.0,69.8,75.8,Access,,LB5205,69.6,68.2,64.9,67.6,77.6,Access,,,,Non-IT,,China
60,master of business administration,LOA,Satisfactory,0,Essential Skills and Reading,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,77.2,78.3,73.0,60.3,71.5,Access,Non submission,LB5202,77.6,60.8,62.2,75.0,82.6,No Access,Attendance,LB5205,78.0,91.2,64.3,63.4,75.2,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,China
61,master of business administration,New,Satisfactory,0,4R Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,29.4,93.8,61.5,88.1,47.3,No Access,,LB5202,64.9,61.2,70.2,64.8,57.3,No Access,,LB5205,72.7,72.9,58.8,60.2,58.5,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Colombia
62,master of business administration,Transferred,Satisfactory,0,Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,69.9,68.8,67.9,95.7,52.5,Access,,LB5202,73.8,68.9,71.7,64.4,71.3,Access,,LB5205,69.6,66.2,63.2,58.4,65.3,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,Ghana
63,master of business administration,LOA,Satisfactory,0,Writing,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,3.4,71.4,68.4,70.1,69.2,Access,,LB5202,19.9,87.1,69.5,68.0,80.7,No Access,,LB5205,74.9,68.3,83.2,78.8,71.3,Access,,,,Non-IT,,Ghana
64,master of business administration,SRI to JCUB,Satisfactory,0,Studiocity,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,80.0,77.0,76.2,72.1,77.8,Access,Non submission,LB5202,73.9,76.5,62.1,68.9,77.6,Access,Non submission,LB5205,76.1,56.8,89.0,77.0,69.3,Access,Non submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,Hong Kong
65,master of business administration,LOA,Satisfactory,0,4R Essential Skills,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,70.3,77.6,64.7,74.1,69.4,Access,,LB5202,63.2,80.4,78.1,72.8,77.4,Access,,LB5205,64.3,67.1,67.7,77.6,81.7,Access,,,,Non-IT,,India
66,master of business administration,LOA,Satisfactory,0,Referencing,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,71.8,64.4,65.9,82.0,62.2,No Access,Non submission,LB5202,72.1,18.6,75.4,72.4,74.5,Access,Attendance,LB5205,72.6,78.1,69.0,64.4,83.3,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,India
67,master of business administration,LOA,Satisfactory,0,Studiocity,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,76.3,70.3,81.3,77.6,79.6,No Access,,LB5202,79.8,64.5,32.8,74.3,76.1,Access,,LB5205,74.7,72.2,76.2,71.0,70.7,Access,,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,,India
68,master of business administration,First year,Satisfactory,0,Writing,Other,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,62.3,69.6,59.9,61.8,80.2,Access,,LB5202,68.4,83.1,79.6,72.4,80.5,Access,,LB5205,61.7,57.0,82.3,70.4,58.9,Access,,,,Non-IT,,India
69,master of business administration,First year,Satisfactory,0,Referencing,Student Counsellor,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,95.7,63.5,69.7,72.8,79.5,Access,Attendance,LB5202,67.5,69.3,63.5,73.0,67.3,Access,Attendance,LB5205,93.5,75.4,68.9,77.4,70.6,No Access,Non submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,,India
70,master of business administration,Transferred,Satisfactory,0,4R Essential Skills,Student Advocate,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,68.7,80.5,70.8,78.3,74.6,Access,,LB5202,77.0,73.6,62.3,66.7,67.7,Access,,LB5205,68.3,80.7,77.6,68.9,53.7,Access,,,,Non-IT,,India
