student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,attendance_adj,avg_assessment,avg_attendance
672,master of data science (professional),New,Satisfactory,0.0,Essential Skills and Reading,Other,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,MA5831,50.2,89.37,79.28,79.23,76.03,Access,Non Submission,MA5840,70.63,87.53,79.05,75.09,91.7,Access,Attendance,MA5851,82.22,78.89,58.82,61.18,87.35,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,IT,71.12,74.29083333333334,81.55000000000001
329,bachelor of business,LOA,Satisfactory,0.0,,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,BU1002,40.0,66.68,95.0,66.96,78.91,Access,Non Submission,BU1003,53.45,95.0,75.09,89.27,87.55,Access,Concern for Welfare,BU1007,90.94,65.04,56.86,77.26,69.17,Access,Non Submission,,,Non-IT,64.19,72.62916666666665,74.955
200,master of information technology,Continuing,Satisfactory,0.0,,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP5046,56.18,74.26,74.03,50.15,80.1,Access,Concern for Welfare,CP5047,61.92,75.7,82.45,66.99,87.59,No Access,Concern for Welfare,CP5503,53.65,81.91,49.34,57.4,100.0,Access,Concern for Welfare,,,IT,100.0,65.33166666666666,91.9225
79,master of business administration,Excluded,Satisfactory,0.0,,Lecturer,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,69.76,69.5,68.22,56.35,99.49,No Access,Attendance,LB5202,61.92,76.33,51.67,56.07,70.72,Access,Attendance,LB5205,70.65,71.41,85.83,70.71,64.05,Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,84.27,67.36833333333334,79.6325
598,"bachelor of tourism, hospitality and events",Transferred,Satisfactory,0.0,,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Email,TO1008,60.38,50.82,66.82,72.43,66.26,Access,Concern for Welfare,TO2117,57.18,70.97,95.0,70.45,78.72,Access,Attendance,TO3052,65.6,57.22,87.97,64.14,83.54,Access,Non Submission,,,Non-IT,62.82,68.24833333333335,72.83500000000001
570,master of international tourism and hospitality management,First year,Satisfactory,0.0,Essential Skills and Reading,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,TO5101,40.69,66.44,52.83,73.47,81.32,Access,Non Submission,TO5103,95.0,77.89,57.7,68.35,93.69,Access,Concern for Welfare,TO5104,53.2,70.83,67.34,81.22,88.49,Access,Concern for Welfare,,,Non-IT,80.69,67.08,86.0475
447,bachelor of information technology,First year,Satisfactory,0.0,Studiocity,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,CP1401,95.0,75.91,89.38,66.75,69.86,Access,Attendance,CP1402,87.54,65.86,69.51,57.87,85.01,Access,Concern for Welfare,CP1404,64.52,95.0,56.06,47.86,90.1,Access,Non Submission,,,IT,74.15,72.605,79.78
507,master of professional accounting,First year,Satisfactory,0.0,Studiocity,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CO5117,90.9,92.34,59.8,49.7,91.81,Access,Non Submission,CO5103,77.72,70.46,63.74,68.6,64.47,Access,Non Submission,CO5109,51.58,84.9,63.72,86.85,73.3,Access,Non Submission,,,Non-IT,80.87,71.69250000000001,77.6125
626,bachelor of commerce,Return to Study,Satisfactory,0.0,,Other,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,BU1112,64.17,58.62,74.55,61.19,65.87,Access,Non Submission,BX2011,75.24,73.83,77.53,74.81,91.12,Access,Attendance,BX2014,65.24,40.0,69.36,63.85,84.4,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,74.06,66.53250000000001,78.86250000000001
603,master of professional accounting - master of business administration,LOA,Satisfactory,0.0,,Student Advocate,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,CO5117,59.31,52.45,65.66,77.35,72.52,Access,Concern for Welfare,CO5103,58.4,72.84,57.13,50.57,91.17,Access,Non Submission,LB5113,68.8,66.97,69.08,65.3,75.88,No Access,Attendance,,,Non-IT,76.02,63.655,78.8975
361,master of engineering management,First year,Satisfactory,0.0,Referencing,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,No,Email,EG5200,78.15,77.99,69.94,70.52,82.84,No Access,Concern for Welfare,EG5220,74.88,58.01,58.48,64.95,70.38,Access,Concern for Welfare,EG5310,65.52,71.84,60.28,65.56,81.79,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,82.15,68.00999999999999,79.28999999999999
339,bachelor of business,Transferred,Satisfactory,0.0,,Other,Booked,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,BU1002,70.46,64.32,80.72,72.93,79.15,Access,Non Submission,BU1003,71.83,57.59,64.03,65.21,74.04,Access,Attendance,BU1007,52.6,45.4,58.88,72.65,76.37,Access,Non Submission,,,Non-IT,84.5,64.71833333333332,78.515
668,master of data science (professional),Continuing,Satisfactory,0.0,,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,MA5831,84.72,73.11,68.88,80.66,75.22,Access,Attendance,MA5840,61.94,73.06,63.96,58.37,60.52,Access,Non Submission,MA5851,75.53,61.74,43.33,71.18,85.52,No Access,Non Submission,,,IT,78.74,68.04,75.0
291,bachelor of business,SRI to JCUB,Satisfactory,0.0,,Student Advocate,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,BU1002,63.06,73.51,67.37,73.14,74.99,Access,Concern for Welfare,BU1003,67.4,78.58,76.84,54.2,95.57,No Access,Concern for Welfare,BU1007,75.05,46.65,51.91,65.45,64.95,Access,Non Submission,,,Non-IT,74.95,66.09666666666666,77.615
285,bachelor of business,LOA,Satisfactory,0.0,,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,BU1002,79.38,81.31,61.71,72.2,79.94,Access,Non Submission,BU1003,57.65,60.62,88.69,48.77,67.81,Access,Non Submission,BU1007,74.7,94.78,62.6,55.76,74.01,Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,91.27,69.84750000000001,78.2575
332,bachelor of business,Return to Study,Satisfactory,0.0,,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,BU1002,59.1,63.96,65.73,64.99,81.69,No Access,Attendance,BU1003,83.71,86.74,49.26,84.53,86.04,Access,Attendance,BU1007,83.27,57.47,76.49,52.52,62.16,No Access,Concern for Welfare,,,Non-IT,71.11,68.98083333333334,75.25
478,master of professional accounting,LOA,Satisfactory,0.0,,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,No Reply,CO5117,83.78,77.64,70.96,54.12,80.27,Access,Attendance,CO5103,40.0,53.21,61.0,69.58,60.0,No Access,Concern for Welfare,CO5109,68.36,56.67,59.73,64.69,65.1,Access,Attendance,,,Non-IT,91.29,63.31166666666667,74.16499999999999
55,master of business administration,Return to Study,Satisfactory,0.0,,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,57.73,75.16,62.49,62.17,93.05,Access,Attendance,LB5202,63.97,72.28,69.36,92.52,81.37,No Access,Attendance,LB5205,66.48,85.75,42.93,84.57,79.18,Access,Concern for Welfare,,,Non-IT,81.85,69.61749999999999,83.86250000000001
249,master of information technology,First year,Satisfactory,0.0,Studiocity,Other,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,CP5046,74.3,40.0,76.18,88.4,61.0,Access,Attendance,CP5047,82.76,78.23,44.57,71.26,68.26,Access,Attendance,CP5503,71.81,64.69,73.87,91.79,69.49,Access,Attendance,,,IT,78.19,71.48833333333333,69.235
224,master of information technology,Return to Study,Satisfactory,0.0,,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP5046,68.66,76.33,69.54,71.38,60.0,No Access,Concern for Welfare,CP5047,73.97,59.38,85.28,48.98,91.05,Access,Attendance,CP5503,72.26,71.19,78.92,62.09,60.63,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,IT,84.66,69.83166666666666,74.08500000000001
134,master of education - master of business administration,Continuing,Satisfactory,0.0,,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,59.28,77.05,85.23,40.0,72.01,Access,Concern for Welfare,ED5880,71.7,55.85,56.0,53.26,67.41,No Access,Attendance,LB5113,67.94,80.93,75.3,61.15,75.97,Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,93.36,65.30749999999999,77.1875
640,bachelor of commerce,Continuing,Satisfactory,0.0,,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,BU1112,67.7,44.77,73.09,59.39,74.29,No Access,Non Submission,BX2011,65.34,69.13,55.66,67.97,85.85,Access,Concern for Welfare,BX2014,63.76,56.74,51.79,75.54,75.61,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,82.89,62.57333333333332,79.66
137,master of education - master of business administration,Transferred,Satisfactory,0.0,,Enrollment,Attended,No,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,62.09,70.96,71.06,89.56,67.78,No Access,Non Submission,ED5880,78.68,55.51,52.32,57.26,77.07,No Access,Non Submission,LB5113,87.02,75.98,70.03,90.11,80.59,No Access,Concern for Welfare,,,Non-IT,67.52,71.715,73.24
110,master of education - master of business administration,Transferred,Satisfactory,0.0,,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,ED5097,95.0,72.33,70.87,67.68,88.09,Access,Non Submission,ED5880,51.27,59.49,40.0,70.56,84.55,Access,Non Submission,LB5113,65.41,72.24,78.86,72.21,71.17,Access,Concern for Welfare,,,Non-IT,84.22,67.99333333333334,82.0075
182,master of education - master of business administration,New,Satisfactory,0.0,Essential Skills,Other,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,ED5097,44.1,95.0,72.5,93.04,75.95,Access,Non Submission,ED5880,40.0,81.73,63.01,73.44,90.53,Access,Attendance,LB5113,74.15,88.43,61.1,82.45,74.54,Access,Attendance,,,Non-IT,90.48,72.4125,82.87500000000001
433,bachelor of information technology,Continuing,Satisfactory,0.0,,Lecturer,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CP1401,74.56,72.83,64.12,58.12,88.93,No Access,Attendance,CP1402,85.15,60.86,81.93,60.89,78.84,No Access,Non Submission,CP1404,64.56,71.86,84.36,90.35,88.0,Access,Attendance,,,IT,78.77,72.46583333333334,83.635
555,master of international tourism and hospitality management,First year,Satisfactory,0.0,Essential Skills,Lecturer,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,TO5101,43.01,44.29,74.97,62.25,87.51,Access,Non Submission,TO5103,53.35,75.57,74.26,67.7,60.0,Access,Non Submission,TO5104,81.47,66.1,88.39,77.2,79.13,No Access,Non Submission,,,Non-IT,86.34,67.38000000000001,78.245
483,master of professional accounting,Transferred,Satisfactory,0.0,,Lecturer,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CO5117,78.8,66.59,46.66,70.2,88.05,No Access,Non Submission,CO5103,49.64,72.43,50.43,68.83,90.27,Access,Attendance,CO5109,77.86,72.8,68.6,85.45,85.99,Access,Concern for Welfare,,,Non-IT,75.66,67.3575,84.9925
517,master of professional accounting,Continuing,Satisfactory,0.0,,Lecturer,Attended,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Phone,CO5117,56.04,74.24,85.18,58.06,79.37,Access,Concern for Welfare,CO5103,58.01,46.27,95.0,71.22,100.0,Access,Non Submission,CO5109,83.19,58.4,63.66,68.85,73.49,Access,Attendance,,,Non-IT,87.35,68.17666666666666,85.05250000000001
133,master of education - master of business administration,LOA,Satisfactory,0.0,,Student Counsellor,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,ED5097,80.59,56.95,58.32,59.16,93.7,Access,Non Submission,ED5880,65.52,40.0,68.59,57.72,83.75,Access,Attendance,LB5113,55.0,66.88,67.25,77.58,77.63,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,78.4,62.796666666666674,83.37
177,master of education - master of business administration,Continuing,Satisfactory,0.0,,Lecturer,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,ED5097,53.05,56.35,86.42,68.96,69.72,Access,Attendance,ED5880,75.6,53.0,71.43,66.28,84.51,No Access,Non Submission,LB5113,94.02,41.68,71.89,70.87,77.24,Access,Concern for Welfare,,,Non-IT,77.23,67.46249999999999,77.17500000000001
73,master of business administration,Transferred,Satisfactory,0.0,,Student Counsellor,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,79.12,53.55,95.0,45.97,82.61,No Access,Non Submission,LB5202,68.01,54.05,72.56,81.56,94.59,Access,Attendance,LB5205,89.88,84.3,92.08,77.33,74.33,Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,64.13,74.45083333333334,78.91499999999999
255,master of information technology,LOA,Satisfactory,0.0,,Lecturer,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,CP5046,63.57,69.65,74.28,77.61,90.08,Access,Concern for Welfare,CP5047,72.65,68.58,75.93,84.08,80.64,No Access,Attendance,CP5503,75.59,76.39,84.85,85.77,81.77,Access,Non Submission,,,IT,81.59,75.74583333333334,83.52000000000001
577,"bachelor of tourism, hospitality and events",Continuing,Satisfactory,0.0,,Student Advocate,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,TO1008,69.19,55.09,62.81,67.69,76.18,Access,Concern for Welfare,TO2117,67.41,61.29,89.31,54.98,87.8,No Access,Attendance,TO3052,95.0,66.71,71.33,64.77,69.24,No Access,Concern for Welfare,,,Non-IT,71.45,68.79833333333333,76.1675
649,master of international tourism and hospitality management - master of business administration,Return to Study,Satisfactory,0.0,,Enrollment,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,Email,TO5101,58.59,75.68,67.88,60.9,72.67,Access,Attendance,LB5113,79.59,75.31,56.91,49.53,70.54,No Access,Attendance,LB5202,66.7,45.14,55.0,78.61,80.52,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,67.85,64.15333333333334,72.89500000000001
595,"bachelor of tourism, hospitality and events",First year,Satisfactory,0.0,Essential Skills,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,TO1008,59.79,62.28,55.57,68.87,75.57,Access,Concern for Welfare,TO2117,80.2,87.73,87.23,69.94,61.24,No Access,Non Submission,TO3052,64.97,65.21,63.02,59.4,76.39,Access,Concern for Welfare,,,Non-IT,78.96,68.68416666666667,73.03999999999999
666,master of international tourism and hospitality management - master of business administration,Return to Study,Satisfactory,0.0,,Student Advocate,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,TO5101,61.32,59.38,66.53,76.99,61.55,Access,Attendance,LB5113,53.73,87.65,92.46,65.37,63.29,Access,Concern for Welfare,LB5202,40.0,51.4,51.78,71.0,62.39,Access,Concern for Welfare,,,Non-IT,82.89,64.80083333333333,67.53
353,master of engineering management,Excluded,Satisfactory,0.0,,Enrollment,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,F2F,EG5200,56.67,60.71,66.24,80.03,86.62,Access,Non Submission,EG5220,72.16,61.49,75.2,64.91,80.17,Access,Attendance,EG5310,75.16,69.4,62.48,78.79,68.84,No Access,Attendance,,,Non-IT,77.95,68.60333333333332,78.39500000000001
77,master of business administration,Return to Study,Satisfactory,0.0,,Other,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,73.77,48.95,82.64,51.27,78.83,Access,Concern for Welfare,LB5202,86.36,73.18,59.75,62.75,84.06,Access,Concern for Welfare,LB5205,61.73,58.82,49.88,56.53,80.82,No Access,Concern for Welfare,,,Non-IT,69.4,63.80250000000001,78.2775
149,master of education - master of business administration,LOA,Satisfactory,0.0,,Student Counsellor,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,ED5097,65.58,68.06,52.42,59.95,78.24,Access,Attendance,ED5880,80.13,60.11,63.66,80.33,79.12,Access,Attendance,LB5113,62.94,87.43,79.43,72.14,74.12,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,66.84,69.34833333333334,74.58000000000001
347,master of engineering management,New,Satisfactory,0.0,Essential Skills,Student Counsellor,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,EG5200,65.31,65.05,61.92,49.86,64.48,Access,Concern for Welfare,EG5220,80.76,51.78,88.85,52.94,70.14,Access,Concern for Welfare,EG5310,40.0,74.14,77.46,55.26,76.21,Access,Concern for Welfare,,,Non-IT,84.88,63.61083333333334,73.9275
91,master of business administration,Return to Study,Satisfactory,0.0,,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,56.49,84.52,88.1,58.03,72.82,Access,Non Submission,LB5202,71.69,73.38,61.16,88.77,74.05,Access,Non Submission,LB5205,88.82,58.02,59.58,89.22,93.99,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,79.59,73.14833333333334,80.11250000000001
661,master of international tourism and hospitality management - master of business administration,Excluded,Satisfactory,0.0,,Student Advocate,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,TO5101,52.53,43.04,69.88,55.43,78.46,Access,Concern for Welfare,LB5113,70.94,42.72,40.0,68.92,90.37,Access,Attendance,LB5202,73.37,69.44,49.26,77.58,75.64,No Access,Attendance,,,Non-IT,95.92,59.42583333333334,85.0975
11,master of business administration,SRI to JCUB,Satisfactory,0.0,,Student Counsellor,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,58.12,53.13,55.24,61.17,77.55,Access,Concern for Welfare,LB5202,60.55,60.77,50.4,90.82,72.81,Access,Non Submission,LB5205,59.04,47.19,86.0,85.31,79.56,Access,Attendance,,,Non-IT,82.47,63.97833333333333,78.0975
64,master of business administration,New,Satisfactory,0.0,Studiocity,Student Advocate,Not relevant,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,78.67,62.33,85.53,68.78,69.6,Access,Concern for Welfare,LB5202,87.29,92.33,82.78,79.29,60.0,Access,Attendance,LB5205,74.93,80.02,84.11,65.78,60.0,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,63.86,78.48666666666666,63.365
635,bachelor of commerce,New,Satisfactory,0.0,4R Essential Skills,Enrollment,Booked,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,BU1112,78.71,65.59,65.91,61.11,66.95,Access,Non Submission,BX2011,80.53,53.19,82.5,82.61,60.0,No Access,Non Submission,BX2014,67.72,68.2,74.97,60.5,64.1,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,60.0,70.12833333333334,62.7625
646,bachelor of commerce,LOA,Satisfactory,0.0,,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,Yes,Email,BU1112,69.82,79.14,45.23,93.19,76.0,No Access,Attendance,BX2011,65.95,88.29,45.33,56.66,74.1,Access,Attendance,BX2014,62.59,63.99,61.89,95.0,76.94,No Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Poor time management,Non-IT,68.79,68.92333333333333,73.9575
175,master of education - master of business administration,SRI to JCUB,Satisfactory,0.0,,Student Counsellor,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,ED5097,81.88,73.74,84.61,83.96,91.45,Access,Non Submission,ED5880,78.71,74.39,70.43,57.68,80.61,Access,Non Submission,LB5113,72.46,55.12,80.6,65.38,74.74,Access,Non Submission,,,Non-IT,74.23,73.24666666666667,80.25750000000001
257,master of information technology,LOA,Satisfactory,0.0,,Student Counsellor,Rescheduled,Yes,L/G:9/10 N:5/10 R:8/10,No,F2F,CP5046,91.55,89.85,45.27,65.11,68.85,Access,Concern for Welfare,CP5047,44.95,78.45,62.2,67.46,67.03,Access,Non Submission,CP5503,76.18,45.29,68.34,69.7,69.84,No Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,IT,79.38,67.02916666666667,71.275
667,master of international tourism and hospitality management - master of business administration,Excluded,Satisfactory,0.0,,Lecturer,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,TO5101,84.54,49.93,95.0,58.66,60.87,Access,Non Submission,LB5113,60.16,73.85,68.49,84.35,68.51,Access,Non Submission,LB5202,51.71,70.35,69.23,61.41,88.66,Access,Concern for Welfare,,,Non-IT,63.02,68.97333333333334,70.265
32,master of business administration,Transferred,Satisfactory,0.0,,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,42.73,60.57,80.99,69.25,87.05,Access,Attendance,LB5202,59.75,53.2,61.73,73.9,79.01,Access,Attendance,LB5205,73.87,54.1,55.73,81.68,81.4,No Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,86.14,63.958333333333336,83.4
370,master of engineering management,Continuing,Satisfactory,0.0,,Student Advocate,Booked,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,EG5200,78.58,64.21,66.69,50.9,75.64,Access,Non Submission,EG5220,67.3,89.4,74.55,56.1,79.03,Access,Concern for Welfare,EG5310,90.01,69.8,49.56,59.26,91.05,Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,79.76,68.02999999999999,81.37
