student_id,country,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk,country_weighted,course_weighted,student_cohort_weighted,academic_status_weighted,study_skills(attended)_weighted,referral_weighted,pp_meeting_weighted,self_assessment_weighted,readiness_assessment_results_weighted,follow_up_weighted,follow_up_type_weighted,subject_1_weighted,learn_jcu_issues_1_weighted,lecturer_referral_1_weighted,subject_2_weighted,learn_jcu_issues_2_weighted,lecturer_referral_2_weighted,subject_3_weighted,learn_jcu_issues_3_weighted,lecturer_referral_3_weighted,comments_weighted,identified_issues_weighted,course_group_weighted,readiness_assessment_results_sentiment_score,readiness_assessment_results_sentiment_category,readiness_assessment_results_text_length,readiness_assessment_results_word_count,comments_sentiment_score,comments_sentiment_category,comments_text_length,comments_word_count
75,kenya,mba,new,satisfactory,0,essential skills,other,attended,yes,l/g:9/10 n:5/10 r:8/10,yes,f2f,lb5113,63.3,62.4,71.4,71.6,71.0,access,attendance,lb5202,76.3,65.7,74.2,71.4,63.5,no access,attendance,lb5205,71.7,67.9,69.4,76.1,74.6,access,concern for welfare,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,medium,20,4,2,1,5,4,3,1.0,1,1,1,3,1,3,3,2,3,3,1,3,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
81,kenya,mba,new,satisfactory,0,writing,lecturer,attended,no,l/g:9/10 n:5/10 r:8/10,no,no reply,lb5113,37.1,73.0,76.0,69.5,68.1,access,attendance,lb5202,72.9,70.6,74.6,52.8,65.0,no access,attendance,lb5205,66.0,74.6,9.7,98.0,59.7,no access,attendance,,no issue reported,non-it,high,20,4,2,1,3,2,3,2.0,1,2,3,3,1,3,3,2,3,3,2,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
84,kenya,mba,first year,satisfactory,0,writing,student counsellor,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,email,lb5113,69.5,92.5,91.9,78.6,75.3,no access,concern for welfare,lb5202,69.8,74.2,68.3,49.4,62.4,no access,non submission,lb5205,19.9,77.3,60.3,98.6,67.3,access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,late enrollment,non-it,medium,20,4,4,1,3,5,4,1.5,1,1,2,3,2,2,3,2,1,3,1,2,1.0,3,1,0,neutral,22,3,0.0,neutral,117,16
85,kenya,mba,continuing,conditional,2,studiocity,enrollment,booked,,l/g:9/10 n:5/10 r:8/10,yes,email,lb5113,64.9,73.4,73.0,55.6,70.7,access,attendance,lb5202,33.2,68.6,62.2,38.2,51.9,access,non submission,lb5205,47.5,58.3,59.6,55.6,44.6,no access,concern for welfare,week 7. student disclosed high stress levels and lack of sleep. referred to wellbeing team and reminded of available mental health support.,poor time management,non-it,high,20,4,5,2,1,3,2,1.5,1,1,2,3,1,3,3,1,1,3,2,3,8.0,7,1,0,neutral,22,3,0.0,neutral,139,22
88,kenya,mba,first year,satisfactory,0,studiocity,student advocate,booked,,l/g:9/10 n:5/10 r:8/10,no,phone,lb5113,64.8,55.6,63.9,69.9,64.5,access,non submission,lb5202,56.3,63.6,65.2,83.7,63.5,access,concern for welfare,lb5205,70.6,68.3,32.9,69.7,72.1,access,concern for welfare,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,medium,20,4,4,1,1,1,2,1.5,1,2,4,3,1,1,3,1,2,3,1,3,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
89,kenya,mba,first year,satisfactory,0,studiocity,lecturer,booked,,l/g:9/10 n:5/10 r:8/10,no,email,lb5113,72.9,65.7,69.3,60.3,63.7,access,non submission,lb5202,80.8,73.2,64.0,62.0,56.5,no access,non submission,lb5205,69.7,68.5,71.6,58.5,85.0,access,non submission,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,no issue reported,non-it,medium,20,4,4,1,1,2,2,1.5,1,2,2,3,1,1,3,2,1,3,1,2,2.0,2,1,0,neutral,22,3,0.0,neutral,131,21
90,kenya,mba,first year,satisfactory,0,4r essential skills,other,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,phone,lb5113,68.7,64.4,80.5,73.3,68.6,access,non submission,lb5202,63.6,35.9,74.4,67.6,66.3,access,concern for welfare,lb5205,59.7,62.7,64.7,76.5,60.9,access,attendance,,late enrollment,non-it,medium,20,4,4,1,6,4,4,1.5,1,1,4,3,1,1,3,1,2,3,1,1,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
91,kenya,mba,new,satisfactory,0,referencing,student advocate,not relevant,no,l/g:9/10 n:5/10 r:8/10,no,no reply,lb5113,62.2,71.9,79.2,84.1,61.7,access,non submission,lb5202,56.1,61.8,62.8,60.2,58.4,access,non submission,lb5205,66.6,80.8,64.0,61.0,72.3,access,non submission,,late enrollment,non-it,medium,20,4,2,1,2,1,4,2.0,1,2,3,3,1,1,3,1,1,3,1,2,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
92,malaysia,mba,new,satisfactory,0,studiocity,other,booked,yes,l/g:9/10 n:5/10 r:8/10,yes,phone,lb5113,79.8,32.3,68.4,68.6,75.3,access,non submission,lb5202,61.3,68.3,24.4,57.9,63.5,access,concern for welfare,lb5205,94.8,71.5,63.5,63.4,58.1,access,concern for welfare,,no issue reported,non-it,medium,7,4,2,1,1,4,2,1.0,1,1,4,3,1,1,3,1,2,3,1,3,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
93,nepal,mba,transferred,satisfactory,0,essential skills,student counsellor,rescheduled,,l/g:9/10 n:5/10 r:8/10,yes,phone,lb5113,12.0,69.0,77.6,71.6,72.4,access,non submission,lb5202,72.9,65.6,82.5,71.7,68.8,access,non submission,lb5205,70.8,70.4,74.8,37.5,73.7,access,concern for welfare,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,no issue reported,non-it,medium,19,4,3,1,5,5,1,1.5,1,1,4,3,1,1,3,1,1,3,1,3,2.0,2,1,0,neutral,22,3,0.0,neutral,131,21
95,papua new guinea,mba,first year,satisfactory,0,studiocity,enrollment,booked,,l/g:9/10 n:5/10 r:8/10,yes,email,lb5113,59.6,79.4,63.0,70.7,54.2,no access,attendance,lb5202,72.8,65.0,61.5,69.9,66.3,access,attendance,lb5205,75.4,68.3,77.9,77.3,73.0,no access,concern for welfare,,late enrollment,non-it,medium,14,4,4,1,1,3,2,1.5,1,1,2,3,2,3,3,1,3,3,2,3,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
98,philippines,mba,new,satisfactory,0,studiocity,student counsellor,not relevant,yes,l/g:9/10 n:5/10 r:8/10,yes,email,lb5113,85.9,65.5,68.7,72.6,66.4,no access,attendance,lb5202,65.9,64.1,70.2,68.0,71.2,no access,attendance,lb5205,68.0,77.1,65.4,72.5,68.8,access,attendance,,late enrollment,non-it,medium,17,4,2,1,1,5,4,1.0,1,1,2,3,2,3,3,2,3,3,1,1,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
101,vietnam,mba,new,satisfactory,0,essential skills,enrollment,attended,yes,l/g:9/10 n:5/10 r:8/10,no,no reply,lb5113,70.2,69.9,70.3,65.3,76.5,access,concern for welfare,lb5202,75.6,86.5,62.1,61.7,57.6,access,concern for welfare,lb5205,70.0,96.3,64.0,70.3,65.8,no access,concern for welfare,,no issue reported,non-it,medium,12,4,2,1,5,3,3,1.0,1,2,3,3,1,2,3,1,2,3,2,3,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
102,zimbabwe,mba,new,satisfactory,0,studiocity,student counsellor,attended,yes,l/g:9/10 n:5/10 r:8/10,yes,phone,lb5113,14.5,64.6,55.7,75.8,64.6,no access,non submission,lb5202,68.0,96.0,57.9,48.2,72.5,no access,attendance,lb5205,67.2,65.9,58.3,66.7,69.1,access,non submission,,late enrollment,non-it,high,25,4,2,1,1,5,3,1.0,1,1,4,3,2,1,3,2,3,3,1,2,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
104,bangladesh,med-mba,return to study,satisfactory,0,4r essential skills,lecturer,attended,,l/g:9/10 n:5/10 r:8/10,no,phone,ed5097,30.1,53.2,57.8,76.0,75.7,access,concern for welfare,ed5880,70.2,69.9,77.1,64.9,80.0,access,non submission,lb5113,72.8,80.9,71.9,72.2,75.6,access,attendance,,mental health,non-it,medium,16,8,7,1,6,2,3,1.5,1,2,4,7,1,2,7,1,1,5,1,1,5.5,4,1,0,neutral,22,3,0.0,neutral,0,0
112,bhutan,med-mba,new,satisfactory,0,essential skills and reading,enrollment,rescheduled,yes,l/g:9/10 n:5/10 r:8/10,no,email,ed5097,71.9,66.9,82.4,57.9,74.4,access,non submission,ed5880,74.7,95.0,68.3,65.2,62.8,access,attendance,lb5113,73.9,96.3,68.2,79.2,72.6,access,attendance,,no issue reported,non-it,medium,15,8,2,1,4,3,1,1.0,1,2,2,7,1,1,7,1,3,5,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
113,bhutan,med-mba,first year,satisfactory,0,4r essential skills,enrollment,booked,,l/g:9/10 n:5/10 r:8/10,yes,f2f,ed5097,61.7,37.3,82.4,65.5,74.9,access,attendance,ed5880,80.4,77.8,63.3,75.5,64.3,access,non submission,lb5113,72.2,84.0,2.7,67.0,72.1,no access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,medium,15,8,4,1,6,3,2,1.5,1,1,1,7,1,3,7,1,1,5,2,2,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
117,bhutan,med-mba,new,satisfactory,1,essential skills,student advocate,rescheduled,yes,l/g:9/10 n:5/10 r:8/10,no,f2f,ed5097,57.1,75.3,61.4,27.1,57.0,access,non submission,ed5880,59.3,69.2,44.2,62.7,53.2,no access,attendance,lb5113,66.5,62.9,62.1,57.6,60.8,access,non submission,week 4. student submitted first assessment late. offered academic skills support and advised on extension procedures.,no issue reported,non-it,high,15,8,2,1,5,1,1,1.0,1,2,1,7,1,1,7,2,3,5,1,2,1.0,2,1,0,neutral,22,3,0.0,neutral,117,16
119,bhutan,med-mba,first year,satisfactory,0,writing,student advocate,not relevant,,l/g:9/10 n:5/10 r:8/10,yes,f2f,ed5097,70.1,64.8,70.8,61.9,63.8,access,concern for welfare,ed5880,61.4,65.8,64.2,19.8,72.9,access,non submission,lb5113,84.9,68.6,75.4,65.6,60.1,no access,non submission,,no issue reported,non-it,medium,15,8,4,1,3,1,4,1.5,1,1,1,7,1,2,7,1,1,5,2,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
120,bhutan,med-mba,new,satisfactory,0,referencing,student counsellor,booked,yes,l/g:9/10 n:5/10 r:8/10,no,email,ed5097,91.6,57.6,69.7,60.1,68.3,access,non submission,ed5880,69.0,85.5,67.5,73.7,62.1,access,concern for welfare,lb5113,75.2,98.9,70.4,69.6,56.5,access,attendance,,no issue reported,non-it,medium,15,8,2,1,2,5,2,1.0,1,2,2,7,1,1,7,1,2,5,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
121,bhutan,med-mba,first year,satisfactory,0,referencing,student advocate,rescheduled,,l/g:9/10 n:5/10 r:8/10,no,f2f,ed5097,64.8,75.7,79.4,69.0,62.7,no access,attendance,ed5880,74.1,65.3,73.0,71.2,62.5,no access,concern for welfare,lb5113,75.6,64.2,71.2,93.4,62.4,access,non submission,,late enrollment,non-it,medium,15,8,4,1,2,1,1,1.5,1,2,1,7,2,3,7,2,2,5,1,2,5.5,3,1,0,neutral,22,3,0.0,neutral,0,0
122,bhutan,med-mba,first year,satisfactory,0,referencing,lecturer,booked,,l/g:9/10 n:5/10 r:8/10,no,f2f,ed5097,73.6,72.7,66.9,62.6,56.7,access,attendance,ed5880,85.5,56.1,67.3,62.8,67.0,access,concern for welfare,lb5113,74.1,82.2,64.4,68.0,66.4,access,attendance,,no issue reported,non-it,medium,15,8,4,1,2,2,2,1.5,1,2,1,7,1,3,7,1,2,5,1,1,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
123,bhutan,med-mba,first year,academic caution,1,essential skills,other,booked,,l/g:9/10 n:5/10 r:8/10,yes,no reply,ed5097,43.8,53.1,65.0,50.7,78.7,access,non submission,ed5880,44.3,63.4,68.6,47.8,46.4,access,non submission,lb5113,72.3,48.5,41.7,49.0,46.1,access,attendance,week 2. student did not attend orientation. contacted via email with essential course info and moodle access guide. no response yet,sickness,non-it,high,15,8,4,3,5,4,2,1.5,1,1,3,7,1,1,7,1,1,5,1,1,2.0,5,1,0,neutral,22,3,0.0,neutral,131,21
124,bhutan,med-mba,new,satisfactory,0,studiocity,other,rescheduled,no,l/g:9/10 n:5/10 r:8/10,no,phone,ed5097,56.9,64.4,80.1,63.7,70.9,no access,non submission,ed5880,78.3,65.9,76.7,64.6,74.4,access,concern for welfare,lb5113,68.9,66.7,56.3,62.8,79.5,access,concern for welfare,,no issue reported,non-it,medium,15,8,2,1,1,4,1,2.0,1,2,4,7,2,1,7,1,2,5,1,3,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
129,bhutan,med-mba,first year,satisfactory,0,writing,other,attended,,l/g:9/10 n:5/10 r:8/10,yes,f2f,ed5097,71.0,71.9,60.7,70.8,69.8,no access,concern for welfare,ed5880,99.5,63.1,66.7,61.2,70.8,access,concern for welfare,lb5113,55.4,70.1,61.4,55.2,67.3,access,non submission,,no issue reported,non-it,medium,15,8,4,1,3,4,3,1.5,1,1,1,7,2,2,7,1,2,5,1,2,5.5,2,1,0,neutral,22,3,0.0,neutral,0,0
