student_id,course,student_cohort,academic_status,failed_subjects,study_skills(attended),referral,pp_meeting,self_assessment,readiness_assessment_results,follow_up,follow_up_type,subject_1,subject_1_assess_1,subject_1_assess_2,subject_1_assess_3,subject_1_assess_4,attendance_1,learn_jcu_issues_1,lecturer_referral_1,subject_2,subject_2_assess_1,subject_2_assess_2,subject_2_assess_3,subject_2_assess_4,attendance_2,learn_jcu_issues_2,lecturer_referral_2,subject_3,subject_3_assess_1,subject_3_assess_2,subject_3_assess_3,subject_3_assess_4,attendance_3,learn_jcu_issues_3,lecturer_referral_3,comments,identified_issues,course_group,risk,country
20,MBA,LOA,Satisfactory,0,Referencing,Other,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,70.3,67.0,75.1,94.6,83.3,Access,Concern for Welfare,LB5202,66.0,86.8,96.4,14.8,69.0,Access,Attendance,LB5205,91.0,67.7,72.9,83.2,80.0,Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Bhutan
21,MBA,SRI to JCUB,Satisfactory,0,Essential Skills,Student Counsellor,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,61.2,70.4,78.1,64.2,69.5,Access,Attendance,LB5202,75.8,58.6,62.1,60.2,81.6,Access,Attendance,LB5205,79.1,72.9,26.2,75.0,72.0,Access,Attendance,,Death in Family,Non-IT,Low,Bhutan
22,MBA,Return to Study,Satisfactory,0,Studiocity,Other,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,69.1,59.8,73.4,62.0,77.7,Access,Attendance,LB5202,76.6,66.4,30.0,77.2,61.3,Access,Concern for Welfare,LB5205,60.9,86.1,74.0,67.9,66.5,Access,Attendance,,No Issue Reported,Non-IT,Low,Bhutan
23,MBA,First year,Satisfactory,0,Studiocity,Other,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,68.2,66.9,70.0,69.1,77.7,No Access,Concern for Welfare,LB5202,67.3,51.5,64.6,61.5,57.9,Access,Non Submission,LB5205,69.4,64.9,54.2,60.3,65.9,No Access,Non Submission,,No Issue Reported,Non-IT,Medium,Bhutan
24,MBA,First year,Satisfactory,0,Writing,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,73.1,76.7,65.9,65.5,63.6,No Access,Concern for Welfare,LB5202,75.5,70.9,75.0,56.9,68.8,No Access,Non Submission,LB5205,72.5,60.8,66.9,70.8,58.1,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,Late Enrollment,Non-IT,Medium,Bhutan
25,MBA,New,Satisfactory,0,Writing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,81.9,78.7,66.0,73.7,71.0,Access,Non Submission,LB5202,74.9,72.5,65.9,70.2,70.2,Access,Attendance,LB5205,68.2,79.8,75.9,38.1,66.2,Access,Concern for Welfare,,Late Enrollment,Non-IT,Medium,Bhutan
26,MBA,First year,Satisfactory,0,Referencing,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,66.6,93.5,79.1,68.1,72.3,Access,Concern for Welfare,LB5202,71.1,71.6,25.2,69.6,62.6,Access,Concern for Welfare,LB5205,66.5,74.6,59.6,72.7,72.4,Access,Attendance,,No Issue Reported,Non-IT,Medium,Bhutan
27,MBA,Transferred,Satisfactory,0,Essential Skills and Reading,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,67.5,65.2,74.6,74.0,74.6,No Access,Non Submission,LB5202,63.4,69.7,65.2,76.2,61.6,Access,Non Submission,LB5205,69.8,81.7,77.8,68.6,78.2,No Access,Attendance,,No Issue Reported,Non-IT,Low,Bhutan
28,MBA,LOA,Satisfactory,0,Writing,Other,Attended,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,61.1,82.0,82.1,68.9,72.7,No Access,Attendance,LB5202,73.2,65.8,73.7,78.1,78.5,No Access,Concern for Welfare,LB5205,69.6,68.6,68.5,70.7,63.2,Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Bhutan
29,MBA,LOA,Satisfactory,0,Essential Skills,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,73.9,58.8,66.6,76.7,73.9,Access,Concern for Welfare,LB5202,65.5,67.9,74.2,67.1,87.0,Access,Attendance,LB5205,86.3,75.9,76.2,73.2,76.0,No Access,Attendance,,Death in Family,Non-IT,Low,Bhutan
30,MBA,SRI to JCUB,Satisfactory,0,Writing,Enrollment,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,79.4,66.9,75.6,67.7,75.2,No Access,Concern for Welfare,LB5202,74.6,77.9,73.6,69.3,67.0,No Access,Concern for Welfare,LB5205,68.7,69.4,83.1,74.0,73.8,Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,Non-IT,Low,Bhutan
31,MBA,Return to Study,Satisfactory,0,4R Essential Skills,Lecturer,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,57.8,93.3,79.5,96.0,72.2,Access,Non Submission,LB5202,63.5,61.2,62.0,61.9,74.2,Access,Concern for Welfare,LB5205,0.4,80.5,68.2,60.0,70.4,No Access,Attendance,,Late Enrollment,Non-IT,Low,Bhutan
32,MBA,New,Satisfactory,0,Studiocity,Other,Attended,No,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,66.5,69.8,63.8,70.1,72.0,Access,Attendance,LB5202,58.0,76.9,72.0,67.4,60.6,Access,Attendance,LB5205,78.8,73.0,72.8,64.8,59.1,No Access,Non Submission,,Late Enrollment,Non-IT,Medium,Bhutan
33,MBA,Return to Study,Satisfactory,0,4R Essential Skills,Other,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,69.0,78.1,66.0,69.2,72.9,Access,Attendance,LB5202,69.0,55.1,77.4,73.2,72.5,Access,Attendance,LB5205,76.1,61.9,78.8,68.9,63.4,Access,Non Submission,,Poor Time Management,Non-IT,Low,Bhutan
34,MBA,First year,Satisfactory,0,4R Essential Skills,Enrollment,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,62.9,66.6,72.6,77.0,55.8,Access,Attendance,LB5202,2.7,62.7,67.3,58.8,65.2,Access,Non Submission,LB5205,77.0,64.8,65.2,58.6,69.7,Access,Non Submission,,No Issue Reported,Non-IT,Medium,Bhutan
35,MBA,SRI to JCUB,Satisfactory,0,4R Essential Skills,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,62.6,70.6,71.0,62.9,63.7,Access,Attendance,LB5202,62.0,69.4,74.2,74.1,72.8,Access,Non Submission,LB5205,95.2,59.3,76.7,80.2,71.3,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,Non-IT,Low,Bhutan
36,MBA,Return to Study,Satisfactory,0,Referencing,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,59.2,64.4,74.3,69.5,79.2,No Access,Non Submission,LB5202,65.8,74.9,68.4,87.0,58.5,No Access,Concern for Welfare,LB5205,60.2,76.6,73.5,13.3,66.6,Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Low,Bhutan
37,MBA,Transferred,Satisfactory,0,Essential Skills and Reading,Lecturer,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,72.5,72.2,76.7,87.8,51.3,No Access,Concern for Welfare,LB5202,22.9,34.7,71.5,73.4,78.6,No Access,Attendance,LB5205,75.2,73.4,72.1,77.4,68.5,Access,Concern for Welfare,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,Non-IT,Low,Bhutan
38,MBA,LOA,Satisfactory,0,Essential Skills,Enrollment,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,58.8,60.9,70.6,71.2,84.7,Access,Attendance,LB5202,97.7,75.9,94.2,67.1,68.8,Access,Non Submission,LB5205,73.7,67.1,82.0,65.0,76.4,Access,Attendance,,No Issue Reported,Non-IT,Low,Bhutan
39,MBA,First year,Satisfactory,0,Writing,Lecturer,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,64.9,98.2,70.2,68.8,65.6,No Access,Concern for Welfare,LB5202,75.0,76.5,60.4,90.2,59.5,No Access,Concern for Welfare,LB5205,64.3,55.9,68.8,75.5,58.1,Access,Concern for Welfare,,No Issue Reported,Non-IT,Medium,Bhutan
40,MBA,SRI to JCUB,Satisfactory,0,Studiocity,Enrollment,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Email,LB5113,59.1,68.7,71.7,61.0,62.1,No Access,Attendance,LB5202,71.9,70.0,12.7,79.5,63.6,Access,Non Submission,LB5205,69.1,65.8,91.6,72.1,78.9,Access,Attendance,,No Issue Reported,Non-IT,Low,Bhutan
41,MBA,Return to Study,Satisfactory,0,4R Essential Skills,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,30.9,70.6,79.8,77.6,74.8,Access,Concern for Welfare,LB5202,72.8,78.4,72.2,59.9,73.1,Access,Non Submission,LB5205,66.3,64.9,75.1,66.7,66.6,Access,Attendance,,No Issue Reported,Non-IT,Medium,Bhutan
42,MBA,New,Satisfactory,0,Writing,Enrollment,Not relevant,Yes,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,67.0,68.2,65.9,67.3,70.0,Access,Attendance,LB5202,66.0,78.3,66.2,68.5,59.7,Access,Attendance,LB5205,66.1,99.3,73.0,64.4,62.7,Access,Non Submission,,No Issue Reported,Non-IT,Medium,Bhutan
43,MBA,Transferred,Satisfactory,0,4R Essential Skills,Enrollment,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,73.6,78.4,72.8,76.7,70.3,Access,Concern for Welfare,LB5202,77.4,42.6,62.6,71.1,72.5,Access,Concern for Welfare,LB5205,74.5,74.9,79.8,82.7,71.4,No Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Bhutan
44,MBA,Transferred,Satisfactory,0,4R Essential Skills,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,68.5,66.5,73.1,86.3,55.7,Access,Non Submission,LB5202,74.6,76.6,78.5,75.7,73.4,No Access,Concern for Welfare,LB5205,3.2,83.9,59.1,65.3,66.9,No Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Bhutan
45,MBA,Return to Study,Satisfactory,0,Studiocity,Student Counsellor,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,75.7,85.4,62.6,59.9,82.8,Access,Attendance,LB5202,72.1,67.0,71.7,64.1,77.6,Access,Non Submission,LB5205,70.9,83.4,78.2,62.7,67.1,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Low,Bhutan
46,MBA,LOA,Satisfactory,0,Writing,Other,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,Email,LB5113,58.9,75.3,94.7,69.1,79.2,Access,Attendance,LB5202,78.1,77.3,67.1,55.4,73.2,Access,Attendance,LB5205,72.5,67.6,72.0,79.1,79.7,No Access,Attendance,,No Issue Reported,Non-IT,Low,Bhutan
47,MBA,Return to Study,Satisfactory,0,Writing,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,75.0,67.2,77.8,74.2,79.3,No Access,Attendance,LB5202,90.3,67.4,75.1,69.7,69.7,Access,Non Submission,LB5205,70.5,69.6,65.2,67.0,79.0,No Access,Non Submission,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Death in Family,Non-IT,Low,Bhutan
48,MBA,First year,Satisfactory,0,Referencing,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,78.4,68.2,65.6,58.6,70.1,Access,Concern for Welfare,LB5202,70.8,73.7,63.7,64.8,66.7,Access,Concern for Welfare,LB5205,77.6,79.4,68.4,62.5,60.5,No Access,Non Submission,,No Issue Reported,Non-IT,Medium,Bhutan
49,MBA,Return to Study,Satisfactory,0,4R Essential Skills,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,89.5,65.8,65.3,66.9,68.4,Access,Non Submission,LB5202,75.2,72.5,60.0,70.7,68.1,Access,Attendance,LB5205,74.1,61.3,82.7,74.5,74.5,Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Bhutan
50,MBA,Transferred,Satisfactory,0,Essential Skills and Reading,Other,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,67.8,59.5,62.6,94.8,57.6,No Access,Attendance,LB5202,70.8,74.1,87.4,76.3,67.7,No Access,Concern for Welfare,LB5205,75.2,77.5,67.5,60.8,73.6,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,No Issue Reported,Non-IT,Low,Bhutan
51,MBA,SRI to JCUB,Satisfactory,0,Writing,Student Counsellor,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,66.6,67.8,76.9,67.2,69.4,Access,Attendance,LB5202,75.8,17.5,67.9,56.4,81.0,Access,Concern for Welfare,LB5205,70.0,75.0,61.2,59.6,67.8,Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Bhutan
52,MBA,Return to Study,Satisfactory,0,Referencing,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,77.7,63.9,70.6,64.8,59.8,Access,Concern for Welfare,LB5202,59.8,62.8,67.5,65.1,65.1,Access,Non Submission,LB5205,76.9,70.0,62.6,73.8,69.1,Access,Attendance,,No Issue Reported,Non-IT,Low,Cambodia
53,MBA,LOA,Satisfactory,0,Studiocity,Student Advocate,Rescheduled,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,82.1,36.0,69.4,65.8,71.6,Access,Non Submission,LB5202,78.9,70.9,77.7,76.6,65.8,No Access,Non Submission,LB5205,84.4,83.3,67.8,76.8,62.3,Access,Attendance,,Attendance; Poor Time Management,Non-IT,Low,Canada
54,MBA,SRI to JCUB,Satisfactory,0,Writing,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,72.8,74.4,72.4,74.8,79.6,No Access,Attendance,LB5202,77.4,70.6,76.8,65.7,80.8,No Access,Concern for Welfare,LB5205,82.5,65.7,64.0,74.1,76.2,Access,Concern for Welfare,,No Issue Reported,Non-IT,Low,Chile
55,MBA,New,Satisfactory,0,Referencing,Other,Rescheduled,No,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,64.4,55.1,63.7,61.8,59.7,Access,Attendance,LB5202,59.5,69.0,47.6,65.0,58.8,No Access,Attendance,LB5205,68.6,31.4,60.1,71.8,61.4,Access,Concern for Welfare,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Medium,Chile
56,MBA,Continuing,Satisfactory,0,Referencing,Other,Attended,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,79.1,71.0,69.2,79.0,70.7,Access,Attendance,LB5202,76.1,77.4,71.4,59.9,86.6,Access,Non Submission,LB5205,65.5,64.9,83.0,58.3,74.5,Access,Non Submission,,No Issue Reported,Non-IT,Low,China
57,MBA,Return to Study,Satisfactory,0,Studiocity,Student Counsellor,Booked,,L/G:9/10 N:5/10 R:8/10,Yes,F2F,LB5113,66.5,77.8,66.0,69.1,75.9,Access,Concern for Welfare,LB5202,76.6,70.3,75.5,61.4,72.8,No Access,Attendance,LB5205,79.7,12.9,71.4,67.1,63.6,Access,Non Submission,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Low,China
58,MBA,LOA,Satisfactory,0,Writing,Enrollment,Not relevant,,L/G:9/10 N:5/10 R:8/10,No,No Reply,LB5113,71.3,81.8,64.9,57.8,67.5,Access,Attendance,LB5202,75.1,79.9,66.3,63.7,86.3,Access,Concern for Welfare,LB5205,67.8,64.6,35.0,76.5,72.4,Access,Attendance,,No Issue Reported,Non-IT,Low,China
59,MBA,SRI to JCUB,Satisfactory,0,Studiocity,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,76.9,68.4,62.5,79.3,65.9,Access,Concern for Welfare,LB5202,63.4,71.4,70.0,69.8,75.8,Access,Concern for Welfare,LB5205,69.6,68.2,64.9,67.6,77.6,Access,Non Submission,,No Issue Reported,Non-IT,Low,China
60,MBA,LOA,Satisfactory,0,Essential Skills and Reading,Student Advocate,Attended,,L/G:9/10 N:5/10 R:8/10,Yes,Phone,LB5113,77.2,78.3,73.0,60.3,71.5,Access,Non Submission,LB5202,77.6,60.8,62.2,75.0,82.6,No Access,Attendance,LB5205,78.0,91.2,64.3,63.4,75.2,No Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Low,China
61,MBA,New,Satisfactory,0,4R Essential Skills,Enrollment,Attended,Yes,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,29.4,93.8,61.5,88.1,47.3,No Access,Concern for Welfare,LB5202,64.9,61.2,70.2,64.8,57.3,No Access,Concern for Welfare,LB5205,72.7,72.9,58.8,60.2,58.5,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Late Enrollment,Non-IT,High,Colombia
62,MBA,Transferred,Satisfactory,0,Essential Skills,Enrollment,Booked,,L/G:9/10 N:5/10 R:8/10,No,F2F,LB5113,69.9,68.8,67.9,95.7,52.5,Access,Attendance,LB5202,73.8,68.9,71.7,64.4,71.3,Access,Attendance,LB5205,69.6,66.2,63.2,58.4,65.3,Access,Attendance,Week 2. Student did not attend orientation. Contacted via email with essential course info and Moodle access guide. No response yet,Mental Health,Non-IT,Low,Ghana
63,MBA,LOA,Satisfactory,0,Writing,Lecturer,Booked,,L/G:9/10 N:5/10 R:8/10,No,Phone,LB5113,3.4,71.4,68.4,70.1,69.2,Access,Concern for Welfare,LB5202,19.9,87.1,69.5,68.0,80.7,No Access,Non Submission,LB5205,74.9,68.3,83.2,78.8,71.3,Access,Attendance,,No Issue Reported,Non-IT,Medium,Ghana
64,MBA,SRI to JCUB,Satisfactory,0,Studiocity,Student Advocate,Not relevant,,L/G:9/10 N:5/10 R:8/10,Yes,No Reply,LB5113,80.0,77.0,76.2,72.1,77.8,Access,Concern for Welfare,LB5202,73.9,76.5,62.1,68.9,77.6,Access,Attendance,LB5205,76.1,56.8,89.0,77.0,69.3,Access,Attendance,Week 4. Student submitted first assessment late. Offered academic skills support and advised on extension procedures.,No Issue Reported,Non-IT,Low,Hong Kong
